FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2941768,N,III,55.0,3337,1.4112709760665894,2.051182270050049,4.170666694641113,0.0
2941768,N,III,17.0,1449,1.047794222831726,1.904168963432312,3.017491340637207,0.0
2941822,N,III,31.0,2129,3.1553332805633545,7.046243190765381,19.339094161987305,0.0
2941778,Y,III,78.0,5560,32.26669692993164,42.402191162109375,59.45566940307617,0.6778776978417266
2941786,Y,III,119.0,7307,7.9759697914123535,14.603246688842773,27.08323097229004,0.0
2941837,N,III,125.0,7472,1.4731557369232178,2.5917956829071045,6.343231678009033,0.0
2941837,N,III,10.0,602,1.5605700016021729,2.723512887954712,4.879221439361572,0.0
2941823,N,III,1.5,222,2.213252544403076,4.519787788391113,14.18598747253418,0.0
2941823,N,III,5.0,602,1.7371846437454224,3.9021050930023193,11.077043533325195,0.0
2941823,N,III,15.0,786,2.995481252670288,7.699289321899414,13.404422760009766,0.0
2941838,Y,III,63.0,3597,13.321928024291992,22.225326538085938,34.56815719604492,0.008062274117319988
2941814,N,III,45.7,2820,4.324942588806152,7.614461421966553,25.91436004638672,0.0
2941839,Y,III,56.800000000000004,3901,16.935604095458984,30.19087028503418,45.19512939453125,0.10253781081773904
2941798,N,III,8.5,556,2.704014539718628,4.815910339355469,9.884902954101562,0.0
2941798,N,III,10.5,680,1.813592553138733,3.0045437812805176,5.980411052703857,0.0
2941798,N,III,3.0,199,2.2536213397979736,3.176624059677124,4.197336196899414,0.0
2941798,N,III,5.5,370,1.1359139680862427,1.8299027681350708,2.710625171661377,0.0
2941827,Y,III,16.2,1185,21.91786003112793,40.31001281738281,47.17056655883789,0.249789029535865
2941830,N,III,2.5,120,3.4758224487304688,4.866795539855957,5.264116287231445,0.0
2941834,Y,III,51.0,3602,13.6929931640625,21.2144832611084,36.986976623535156,0.005830094392004442
2941804,Y,III,36.0,2451,15.143488883972168,26.705875396728516,49.16116714477539,0.05426356589147287
2941826,Y,III,63.0,4509,16.44535255432129,25.61171531677246,42.959285736083984,0.03481925038811266
2941869,Y,III,27.0,1724,15.826251029968262,29.337894439697266,43.84327697753906,0.09106728538283063
2941847,N,IVG,19.0,1066,1.5292325019836426,3.124148368835449,12.173331260681152,0.0
2941847,N,IVG,11.0,642,1.9768027067184448,4.529877662658691,13.325303077697754,0.0
2941879,Y,III,74.5,6448,18.95726776123047,32.93954086303711,50.135650634765625,0.15214019851116625
2941877,N,III,32.0,1973,4.137240409851074,10.709105491638184,29.00151824951172,0.0
2941861,N,III,32.0,1911,3.6896238327026367,7.1772260665893555,15.07763385772705,0.0
2941862,N,III,49.0,3132,11.043315887451172,17.399734497070312,29.678386688232422,0.0
2941873,N,III,13.700000000000001,881,10.437140464782715,16.78945541381836,20.887113571166992,0.0
2941874,Y,III,36.2,2263,12.953917503356934,22.2352352142334,33.08327865600586,0.004860804242156429
2941845,Y,IVS,67.4,4929,27.525686264038086,37.32488250732422,47.554229736328125,0.41063095962669915
2941856,Y,III,27.1,2059,23.826160430908203,36.01771926879883,44.921653747558594,0.277804759592035
2941843,N,II,3.0,174,11.756110191345215,19.287004470825195,37.509098052978516,0.034482758620689655
2941858,N,III,32.0,1876,12.716540336608887,22.91254997253418,31.180341720581055,0.0010660980810234541
2941857,N,III,3.0,233,10.035451889038086,16.97661590576172,22.637401580810547,0.0
2941860,Y,III,34.5,2163,13.694259643554688,20.61988639831543,42.18708801269531,0.025889967637540454
2941860,Y,III,21.7,1385,26.326732635498047,38.09733963012695,44.90398406982422,0.38700361010830325
2941893,Y,III,58.300000000000004,3404,26.996353149414062,36.14234924316406,43.97585678100586,0.4391891891891892
2941902,Y,III,113.0,7026,20.930923461914062,31.697437286376953,44.96117401123047,0.14204383717620267
2941910,Y,III,51.800000000000004,3490,27.249074935913086,37.64461135864258,50.04076385498047,0.4151862464183381
2941899,N,III,4.0,275,18.805011749267578,24.197948455810547,27.21581268310547,0.0
2941912,N,III,29.7,1948,13.728068351745605,21.694162368774414,36.442996978759766,0.010780287474332649
2941998,Y,III,1.0,70,18.582820892333984,26.342466354370117,29.84453010559082,0.0
2941998,Y,III,1.7,86,21.63794708251953,28.785160064697266,31.53765296936035,0.05813953488372093
2941998,Y,III,1.8,183,14.521560668945312,24.777175903320312,28.72173500061035,0.0
2941998,Y,III,1.0,46,23.920835494995117,31.243820190429688,32.32069396972656,0.21739130434782608
2941998,Y,III,1.0,38,23.048433303833008,27.263490676879883,29.194759368896484,0.0
2941969,N,III,12.0,488,9.96169376373291,19.59325408935547,38.81634521484375,0.02663934426229508
2941995,Y,III,75.2,5545,30.866777420043945,38.91521072387695,49.42574691772461,0.6207394048692516
2941973,N,III,1.0,149,16.22826385498047,25.399198532104492,32.903358459472656,0.020134228187919462
2941973,N,III,1.0,125,8.698561668395996,13.549668312072754,17.879878997802734,0.0
2941973,N,III,121.0,7011,10.119865417480469,17.107370376586914,39.81012725830078,0.004849522179432321
2941973,N,III,2.0,128,4.376123428344727,6.4590535163879395,12.251893043518066,0.0
2941943,Y,III,61.300000000000004,3761,17.28014373779297,29.553871154785156,48.51195526123047,0.09438978994948152
2941922,Y,III,7.0,461,22.088651657104492,35.586692810058594,46.31633758544922,0.210412147505423
2941933,N,III,11.0,711,2.4060354232788086,4.124152660369873,6.763874053955078,0.0
